season,label,n_survivors,n_promoted,spearman,pearson,pts_r,mean_move,within3
2006,2006-07,17,3,0.6593137254901962,0.6687179159071114,0.8149054473645786,3.352941176470588,0.47058823529411764
2007,2007-08,17,3,0.6568627450980393,0.633058209941672,0.8160039908394922,3.11764705882353,0.6470588235294118
2008,2008-09,17,3,0.6960784313725491,0.6737299989375429,0.8735424022973098,3.0588235294117645,0.7058823529411765
2009,2009-10,17,3,0.7450980392156864,0.7504761520634865,0.800669263066654,3.352941176470588,0.5294117647058824
2010,2010-11,17,3,0.8651960784313727,0.8585488766435605,0.9125626264339523,2.2941176470588234,0.8235294117647058
2011,2011-12,17,3,0.8578431372549021,0.8597196090664645,0.8814787392907473,2.5294117647058822,0.7058823529411765
2012,2012-13,17,3,0.840686274509804,0.8297317362111089,0.8755375380191545,2.352941176470588,0.8823529411764706
2013,2013-14,17,3,0.661764705882353,0.6300157518749777,0.7977860354327396,3.647058823529412,0.5294117647058824
2014,2014-15,17,3,0.8504901960784315,0.8420403863207049,0.8312536463953254,2.3529411764705883,0.7058823529411765
2015,2015-16,17,3,0.6029411764705883,0.6411282848559066,0.48986135842075756,3.1176470588235294,0.7058823529411765
2016,2016-17,17,3,0.5514705882352942,0.5722634619435116,0.46525642982995913,3.8823529411764706,0.47058823529411764
2017,2017-18,17,3,0.681372549019608,0.6480145686994856,0.8273107796473609,3.764705882352941,0.6470588235294118
2018,2018-19,17,3,0.8529411764705883,0.8616652889605578,0.8713521774775943,2.1764705882352944,0.8235294117647058
2019,2019-20,17,3,0.7573529411764707,0.7635921915421203,0.8439528608858706,3,0.5882352941176471
2020,2020-21,17,3,0.627450980392157,0.6132958812776955,0.5408362145762293,3.11764705882353,0.6470588235294118
2021,2021-22,17,3,0.769607843137255,0.7546464244144871,0.7187407904285567,2.764705882352941,0.7647058823529411
2022,2022-23,17,3,0.5931372549019609,0.5978586423295561,0.6179355414101033,4.235294117647059,0.5294117647058824
2023,2023-24,17,3,0.7352941176470589,0.7352941176470589,0.7865413712951511,2.9411764705882355,0.7058823529411765
2024,2024-25,17,3,0.5000000000000001,0.5000000000000001,0.5319802771888937,3.764705882352941,0.7058823529411765
2025,2025-26,17,3,0.6299019607843138,0.6316449015087532,0.5556985055345034,3.3529411764705883,0.5882352941176471
