team,rate_per1000min_2021_24,days_lost_2025_26,injuries_2025_26
Chelsea,9.5,580,19
Everton,8.8,287,10
Newcastle United,8.8,640,17
Manchester United,8.3,341,14
Brighton & Hove Albion,8.0,514,17
Tottenham Hotspur,7.7,625,19
Aston Villa,7.4,432,16
Crystal Palace,7.3,339,15
Brentford,7.2,262,9
Liverpool,7.1,354,15
Arsenal,5.4,603,19
Manchester City,5.3,512,16
Nottingham Forest,,510,16
Leeds United,,426,19
Fulham,,377,14
AFC Bournemouth,,362,17
Sunderland,,252,11
Coventry City,,,
Hull City,,,
Ipswich Town,,,
