team,manager,appointed,note
Arsenal,Mikel Arteta,2019-12-22,
Aston Villa,Unai Emery,2022-11-01,
AFC Bournemouth,Marco Rose,2026-06-01,
Brentford,Keith Andrews,2025-06-27,
Brighton & Hove Albion,Fabian Hurzeler,2024-06-15,
Chelsea,Xabi Alonso,2026-07-01,
Coventry City,Frank Lampard,2024-11-28,
Crystal Palace,Pierre Sage,2026-06-15,
Everton,David Moyes,2025-01-11,
Fulham,Alvaro Arbeloa,2026-07-07,
Hull City,Sergej Jakirovic,2025-06-11,
Ipswich Town,Gary O'Neil,2026-06-23,
Leeds United,Daniel Farke,2023-07-04,
Liverpool,Andoni Iraola,2026-06-04,
Manchester City,Enzo Maresca,2026-06-29,
Manchester United,Michael Carrick,2026-01-13,
Newcastle United,,,no manager listed on the source page
Nottingham Forest,Oliver Glasner,2026-07-06,
Sunderland,Regis Le Bris,2024-07-01,
Tottenham Hotspur,Roberto De Zerbi,2026-03-31,
