league,season,raw_name,rank,played,points,gf,ga
eng.1,2005,Chelsea,1,38,91,72,22
eng.1,2005,Manchester United,2,38,83,72,34
eng.1,2005,Liverpool,3,38,82,57,25
eng.1,2005,Arsenal,4,38,67,68,31
eng.1,2005,Tottenham Hotspur,5,38,65,53,38
eng.1,2005,Blackburn Rovers,6,38,63,51,42
eng.1,2005,Newcastle United,7,38,58,47,42
eng.1,2005,Bolton Wanderers,8,38,56,49,41
eng.1,2005,West Ham United,9,38,55,52,55
eng.1,2005,Wigan Athletic,10,38,51,45,52
eng.1,2005,Everton,11,38,50,34,49
eng.1,2005,Fulham,12,38,48,48,58
eng.1,2005,Charlton Athletic,13,38,47,41,55
eng.1,2005,Middlesbrough,14,38,45,48,58
eng.1,2005,Manchester City,15,38,43,43,48
eng.1,2005,Aston Villa,16,38,42,42,55
eng.1,2005,Portsmouth,17,38,38,37,62
eng.1,2005,Birmingham City,18,38,34,28,50
eng.1,2005,West Bromwich Albion,19,38,30,31,58
eng.1,2005,Sunderland,20,38,15,26,69
eng.1,2006,Manchester United,1,38,89,83,27
eng.1,2006,Chelsea,2,38,83,64,24
eng.1,2006,Liverpool,3,38,68,57,27
eng.1,2006,Arsenal,4,38,68,63,35
eng.1,2006,Tottenham Hotspur,5,38,60,57,54
eng.1,2006,Everton,6,38,58,52,36
eng.1,2006,Bolton Wanderers,7,38,56,47,52
eng.1,2006,Reading,8,38,55,52,47
eng.1,2006,Portsmouth,9,38,54,45,42
eng.1,2006,Blackburn Rovers,10,38,52,52,54
eng.1,2006,Aston Villa,11,38,50,43,41
eng.1,2006,Middlesbrough,12,38,46,44,49
eng.1,2006,Newcastle United,13,38,43,38,47
eng.1,2006,Manchester City,14,38,42,29,44
eng.1,2006,West Ham United,15,38,41,35,59
eng.1,2006,Fulham,16,38,39,38,60
eng.1,2006,Wigan Athletic,17,38,38,37,59
eng.1,2006,Sheffield United,18,38,38,32,55
eng.1,2006,Charlton Athletic,19,38,34,34,60
eng.1,2006,Watford,20,38,28,29,59
eng.1,2007,Manchester United,1,38,87,80,22
eng.1,2007,Chelsea,2,38,85,65,26
eng.1,2007,Arsenal,3,38,83,74,31
eng.1,2007,Liverpool,4,38,76,67,28
eng.1,2007,Everton,5,38,65,55,33
eng.1,2007,Aston Villa,6,38,60,71,51
eng.1,2007,Blackburn Rovers,7,38,58,50,48
eng.1,2007,Portsmouth,8,38,57,48,40
eng.1,2007,Manchester City,9,38,55,45,53
eng.1,2007,West Ham United,10,38,49,42,50
eng.1,2007,Tottenham Hotspur,11,38,46,66,61
eng.1,2007,Newcastle United,12,38,43,45,65
eng.1,2007,Middlesbrough,13,38,42,43,53
eng.1,2007,Wigan Athletic,14,38,40,34,51
eng.1,2007,Sunderland,15,38,39,36,59
eng.1,2007,Bolton Wanderers,16,38,37,36,54
eng.1,2007,Fulham,17,38,36,38,60
eng.1,2007,Reading,18,38,36,41,66
eng.1,2007,Birmingham City,19,38,35,46,62
eng.1,2007,Derby County,20,38,11,20,89
eng.1,2008,Manchester United,1,38,90,68,24
eng.1,2008,Liverpool,2,38,86,77,27
eng.1,2008,Chelsea,3,38,83,68,24
eng.1,2008,Arsenal,4,38,72,68,37
eng.1,2008,Everton,5,38,63,55,37
eng.1,2008,Aston Villa,6,38,62,54,48
eng.1,2008,Fulham,7,38,53,39,34
eng.1,2008,Tottenham Hotspur,8,38,51,45,45
