raw_name,squad_value
Manchester City,1410000000
Arsenal FC,1410000000
Chelsea FC,1360000000
Liverpool FC,999500000
Manchester United,874300000
Tottenham Hotspur,794500000
Brighton & Hove Albion,636500000
Newcastle United,586300000
AFC Bournemouth,565880000
Brentford FC,561800000
Nottingham Forest,552800000
Crystal Palace,545400000
Aston Villa,499300000
Everton FC,471100000
Leeds United,412950000
Sunderland AFC,380580000
Fulham FC,343800000
Ipswich Town,317650000
Coventry City,273350000
Hull City,144300000
