raw_name,squad_value
Manchester City,1460000000
Arsenal FC,1200000000
Chelsea FC,1010000000
Liverpool FC,955650000
Tottenham Hotspur,838500000
Manchester United,808350000
Aston Villa,709650000
Newcastle United,652250000
Brighton & Hove Albion,524400000
Nottingham Forest,501350000
West Ham United,487500000
Crystal Palace,446580000
Wolverhampton Wanderers,442730000
Brentford FC,428780000
AFC Bournemouth,401750000
Everton FC,391750000
Fulham FC,384350000
Burnley FC,273480000
Sheffield United,152350000
Luton Town,140900000
